Name,Prediction
sluaghadhan,8
atiyeh,5
averitchkin,8
wasem,11
antar,6
kubin,1
ghannam,3
nazari,7
whittle,9
sinagra,7
pakhrin,10
wiater,9
halabi,5
hooper,5
khouri,0
kalabekov,5
hosokaya,1
baidalin,1
tihonkih,4
to the first page,8
gudilin,2
elvin,-13
horohorkin,5
abuhov,-3
halstead,9
carver,10
fukao,6
addley,12
awroroff,11
aird,4
avilov,4
iwasaki,4
kassis,14
rovnin,0
turchaninov,11
harb,6
antar,6
vyglovsky,0
chekomasov,7
hass,10
yagujinsky,5
onikov,0
lukhvich,8
dounias,8
martynyuk,9
jachikov,7
yalunin,1
minyar,7
piskovoy,5
pelling,3
nourse,10
biganska,4
pelsh,7
inaba,8
jarratt,5
west,9
salib,8
sai,4
zhukovets,10
hatkevich,8
perrault,9
epton,6
moghadam,13
raikhelson,15
doughty,3
shirinyants,3
asker,2
zhuromsky,10
groom,4
munyabin,7
ongaro,6
said,5
hoyle,2
zhidkikh,-5
kalb,2
demishev,10
siegel,6
stevenson,5
fairlie,4
hamzin,8
shammas,12
berger,2
lymarev,7
nakamoto,7
kakutama,5
antar,6
bahar,4
lutohin,3
shobo,7
haik,-1
vela,-2
abelli,8
bishara,8
delgado,8
gerges,6
kenworthy,13
asker,2
lichagin,1
chekvin,11
rippin,4
levann,-2
honda,4
jdan,8
tihy,-4
pinner,6
abdulbekov,11
curley,2
chuhnin,3
tsarkov,-5
barandych,8
lezhava,7
houston,5
awdyukoff,11
baidyuk,4
silvestri,8
mih,2
abramenko,8
harb,6
middleton,12
vesnovsky,4
mozharovsky,5
abulkhanov,8
yanvarev,1
geary,6
rahal,3
goble,4
dzhamaldinov,12
dumont,2
vaganoff,11
rivero,3
babkeev,7
ferdinand,4
redhead,8
wähner,14
yushnevsky,9
prince,7
fuchida,8
kalachev,8
homuha,4
dell,9
abdulatipov,10
gaber,7
parris,9
zogby,-1
serednyakov,10
marubeni,5
abboud,11
nezhentsev,6
zhemchugov,11
researcher,9
glubotsky,15
dopiro,3
mac,9
dale,4
jiboedov,6
gillies,1
saji,10
schoorel,7
said,5
xian,11
woodley,9
vihansky,9
moreau,8
cheryshev,6
mukasey,3
balagurov,4
juzva,6
sleiman,9
nudatov,4
kan,1
dogadaev,12
bakurov,7
prigara,2
randle,9
ariwa,10
idoni,6
malone,9
shevtsov,4
vedischev,0
utrobin,3
dieter,4
ganza,3
jilyuk,5
bitar,6
drozdov,3
handal,6
marysyuk,9
golostenov,10
aderihin,6
tsapov,6
shamon,8
yudkin,2
yalovets,9
harb,6
waldvogel,10
kwang,10
awerintsev,9
tumilovich,8
fearon,11
tolley,6
o'connell,11
doi,1
huynh,1
touma,4
adzhalov,7
kawasaki,4
lacey,3
kett,11
nazarkin,2
jewitt,5
adabash,5
najjar,10
fairchild,4
abdulkhabiroff,8
pugh,2
ahern,1
anin,4
handa,5
baev,-3
harley,6
renkas,7
hahulin,6
minami,6
vaidanovich,-1
guirguis,0
beek,1
patzev,5
vallah,8
takizawa,5
hajjar,10
homar,7
yasmin,7
vaisman,0
baird,9
shenkovets,10
eikalovich,5
andrukhov,12
agranovsky,7
huang,2
samson,12
likharev,11
accursio,11
galkus,3
veligura,6
uchitel,7
antufiev,11
shammas,12
quraishi,7
kouri,3
ashman,9
danby,4
dovjuk,8
diky,1
jiu,6
yanovich,6
veselenko,10
mikhailjuk,-1
muru,8
mancuso,5
plamondon,1
vertyankin,11
ruzin,5
imanov,2
yudakov,2
baimakoff,11
gakusha,3
jerome,6
eliopoulos,7
zolin,7
hantuev,-3
sokal,0
aswad,8
walshe,13
pylev,5
berg,6
birger,6
zhelnov,10
gatiev,-3
abbà,0
porshenkov,5
morek,5
shima,2
easton,10
schkrebitko,9
bitar,6
littlewood,6
ferro,10
woodcock,5
kosko,4
yarwood,9
murase,8
abraham,8
fiskin,4
shalov,-2
zhadanov,4
ghanem,9
shaihutdinov,4
artizov,6
vyjletsov,0
yanagita,7
mudra,6
saliba,5
halevin,1
bohn,0
wareing,10
browning,9
mihailin,8
cornock,7
katsis,10
everhart,9
martov,-1
gorskikh,5
bai,1
boulos,2
hiraga,7
bäcker,14
vinter,0
laganà,4
desrosiers,8
rawsthorne,12
sayegh,6
maes,7
jigulsky,10
velyashev,0
deeb,4
belogolovkin,7
hakimi,6
lew,10
polymenakou,5
coomber,3
sin,3
abramtchikoff,11
gerver,5
baker,4
foerstner,5
peltsman,10
van tonder,8
zimitsky,3
